# NPB_GAMES_DATA
# UPDATED: 2025-09-04T17:48:48.535093
# FORMAT: DATE|HOME_ID|HOME_ABBR|HOME_NAME|AWAY_ID|AWAY_ABBR|AWAY_NAME|HOME_SCORE|AWAY_SCORE|LEAGUE|STATUS|IS_DRAW
2025-03-28|1|YOG|読売ジャイアンツ|6|YAK|東京ヤクルトスワローズ|6|5|Central|completed|0
2025-03-28|3|YDB|横浜DeNAベイスターズ|5|CHU|中日ドラゴンズ|5|0|Central|completed|0
2025-03-28|4|HIR|広島東洋カープ|2|HAN|阪神タイガース|0|4|Central|completed|0
2025-03-28|11|SEI|埼玉西武ライオンズ|12|NIP|北海道日本ハムファイターズ|0|2|Pacific|completed|0
2025-03-28|10|ORI|オリックスバファローズ|9|RAK|東北楽天ゴールデンイーグルス|3|2|Pacific|completed|0
2025-03-28|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|2|8|Pacific|completed|0
2025-03-29|1|YOG|読売ジャイアンツ|6|YAK|東京ヤクルトスワローズ|12|0|Central|completed|0
2025-03-29|3|YDB|横浜DeNAベイスターズ|5|CHU|中日ドラゴンズ|0|1|Central|completed|0
2025-03-29|4|HIR|広島東洋カープ|2|HAN|阪神タイガース|2|3|Central|completed|0
2025-03-29|11|SEI|埼玉西武ライオンズ|12|NIP|北海道日本ハムファイターズ|2|3|Pacific|completed|0
2025-03-29|10|ORI|オリックスバファローズ|9|RAK|東北楽天ゴールデンイーグルス|4|5|Pacific|completed|0
2025-03-29|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|4|5|Pacific|completed|0
2025-03-30|1|YOG|読売ジャイアンツ|6|YAK|東京ヤクルトスワローズ|3|0|Central|completed|0
2025-03-30|3|YDB|横浜DeNAベイスターズ|5|CHU|中日ドラゴンズ|2|1|Central|completed|0
2025-03-30|4|HIR|広島東洋カープ|2|HAN|阪神タイガース|2|0|Central|completed|0
2025-03-30|11|SEI|埼玉西武ライオンズ|12|NIP|北海道日本ハムファイターズ|5|7|Pacific|completed|0
2025-03-30|10|ORI|オリックスバファローズ|9|RAK|東北楽天ゴールデンイーグルス|6|1|Pacific|completed|0
2025-03-30|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|4|7|Pacific|completed|0
2025-04-01|5|CHU|中日ドラゴンズ|1|YOG|読売ジャイアンツ|3|2|Central|completed|0
2025-04-01|2|HAN|阪神タイガース|3|YDB|横浜DeNAベイスターズ|1|7|Central|completed|0
2025-04-01|12|NIP|北海道日本ハムファイターズ|7|SOF|福岡ソフトバンクホークス|1|5|Pacific|completed|0
2025-04-02|6|YAK|東京ヤクルトスワローズ|4|HIR|広島東洋カープ|5|4|Central|completed|0
2025-04-02|5|CHU|中日ドラゴンズ|1|YOG|読売ジャイアンツ|0|2|Central|completed|0
2025-04-02|2|HAN|阪神タイガース|3|YDB|横浜DeNAベイスターズ|6|6|Central|completed|1
2025-04-02|12|NIP|北海道日本ハムファイターズ|7|SOF|福岡ソフトバンクホークス|3|1|Pacific|completed|0
2025-04-02|8|LOT|千葉ロッテマリーンズ|10|ORI|オリックスバファローズ|2|3|Pacific|completed|0
2025-04-03|6|YAK|東京ヤクルトスワローズ|4|HIR|広島東洋カープ|3|0|Central|completed|0
2025-04-03|5|CHU|中日ドラゴンズ|1|YOG|読売ジャイアンツ|3|5|Central|completed|0
2025-04-03|2|HAN|阪神タイガース|3|YDB|横浜DeNAベイスターズ|2|5|Central|completed|0
2025-04-03|9|RAK|東北楽天ゴールデンイーグルス|11|SEI|埼玉西武ライオンズ|4|1|Pacific|completed|0
2025-04-03|8|LOT|千葉ロッテマリーンズ|10|ORI|オリックスバファローズ|2|3|Pacific|completed|0
2025-04-04|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|2|7|Central|completed|0
2025-04-04|6|YAK|東京ヤクルトスワローズ|5|CHU|中日ドラゴンズ|1|1|Central|completed|1
2025-04-04|4|HIR|広島東洋カープ|3|YDB|横浜DeNAベイスターズ|8|2|Central|completed|0
2025-04-04|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|3|4|Pacific|completed|0
2025-04-04|8|LOT|千葉ロッテマリーンズ|9|RAK|東北楽天ゴールデンイーグルス|1|3|Pacific|completed|0
2025-04-04|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|0|6|Pacific|completed|0
2025-04-05|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|3|4|Central|completed|0
2025-04-05|6|YAK|東京ヤクルトスワローズ|5|CHU|中日ドラゴンズ|2|0|Central|completed|0
2025-04-05|4|HIR|広島東洋カープ|3|YDB|横浜DeNAベイスターズ|8|7|Central|completed|0
2025-04-05|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|1|11|Pacific|completed|0
2025-04-05|8|LOT|千葉ロッテマリーンズ|9|RAK|東北楽天ゴールデンイーグルス|1|0|Pacific|completed|0
2025-04-05|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|3|6|Pacific|completed|0
2025-04-06|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|0|1|Central|completed|0
2025-04-06|6|YAK|東京ヤクルトスワローズ|5|CHU|中日ドラゴンズ|5|6|Central|completed|0
2025-04-06|4|HIR|広島東洋カープ|3|YDB|横浜DeNAベイスターズ|7|6|Central|completed|0
2025-04-06|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|4|6|Pacific|completed|0
2025-04-06|8|LOT|千葉ロッテマリーンズ|9|RAK|東北楽天ゴールデンイーグルス|0|5|Pacific|completed|0
2025-04-06|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|11|1|Pacific|completed|0
2025-04-08|3|YDB|横浜DeNAベイスターズ|1|YOG|読売ジャイアンツ|3|3|Central|completed|1
2025-04-08|5|CHU|中日ドラゴンズ|4|HIR|広島東洋カープ|1|1|Central|completed|1
2025-04-08|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|0|1|Central|completed|0
2025-04-08|9|RAK|東北楽天ゴールデンイーグルス|12|NIP|北海道日本ハムファイターズ|2|5|Pacific|completed|0
2025-04-08|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|3|7|Pacific|completed|0
2025-04-08|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|2|5|Pacific|completed|0
2025-04-09|3|YDB|横浜DeNAベイスターズ|1|YOG|読売ジャイアンツ|3|6|Central|completed|0
2025-04-09|5|CHU|中日ドラゴンズ|4|HIR|広島東洋カープ|3|1|Central|completed|0
2025-04-09|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|3|5|Central|completed|0
2025-04-09|9|RAK|東北楽天ゴールデンイーグルス|12|NIP|北海道日本ハムファイターズ|2|8|Pacific|completed|0
2025-04-09|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|2|0|Pacific|completed|0
2025-04-09|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|9|10|Pacific|completed|0
2025-04-10|5|CHU|中日ドラゴンズ|4|HIR|広島東洋カープ|1|2|Central|completed|0
2025-04-10|9|RAK|東北楽天ゴールデンイーグルス|12|NIP|北海道日本ハムファイターズ|0|10|Pacific|completed|0
2025-04-10|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|1|1|Pacific|completed|1
2025-04-11|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|6|3|Central|completed|0
2025-04-11|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|12|3|Central|completed|0
2025-04-11|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|2|0|Pacific|completed|0
2025-04-11|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|1|4|Pacific|completed|0
2025-04-11|8|LOT|千葉ロッテマリーンズ|7|SOF|福岡ソフトバンクホークス|4|5|Pacific|completed|0
2025-04-12|3|YDB|横浜DeNAベイスターズ|6|YAK|東京ヤクルトスワローズ|5|4|Central|completed|0
2025-04-12|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|2|3|Central|completed|0
2025-04-12|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|1|0|Central|completed|0
2025-04-12|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|1|2|Pacific|completed|0
